station_code,slot_id,capacity_s,lat,lon
DRJ3,DRJ3_T04_S42,42,-22.906379968064552,-43.57087747352787
DRJ3,DRJ3_T04_S43,42,-22.879451459745724,-43.591728524190955
DRJ3,DRJ3_T04_S44,42,-22.88546044039291,-43.48125146807041
DRJ3,DRJ3_T05_S01,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S02,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S03,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S04,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S05,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S06,42,-22.862158628449006,-43.3608370896916
DRJ3,DRJ3_T05_S07,42,-22.93348278685763,-43.36255735332414
DRJ3,DRJ3_T05_S08,42,-22.91472718954882,-43.368251612262426
DRJ3,DRJ3_T05_S09,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S10,42,-22.888446991603402,-43.3645442027478
DRJ3,DRJ3_T05_S11,42,-22.862158628449006,-43.3608370896916
DRJ3,DRJ3_T05_S12,42,-22.86626876790181,-43.38244822716329
DRJ3,DRJ3_T05_S13,42,-22.93348278685763,-43.36255735332414
DRJ3,DRJ3_T05_S14,42,-22.91472718954882,-43.368251612262426
DRJ3,DRJ3_T05_S15,42,-22.922710335485313,-43.359223969637355
DRJ3,DRJ3_T05_S16,42,-22.888446991603402,-43.3645442027478
DRJ3,DRJ3_T05_S17,42,-22.862158628449006,-43.3608370896916
DRJ3,DRJ3_T05_S18,42,-22.86138173132768,-43.391549540131805
DRJ3,DRJ3_T05_S19,42,-22.86626876790181,-43.38244822716329
DRJ3,DRJ3_T05_S20,42,-22.925345060833674,-43.37772819836877
DRJ3,DRJ3_T05_S21,42,-22.917205223493035,-43.39289846989445
DRJ3,DRJ3_T05_S22,42,-22.885190489671842,-43.37061215859913
DRJ3,DRJ3_T05_S23,42,-22.88077062444901,-43.36128581703063
DRJ3,DRJ3_T05_S24,42,-22.91472718954882,-43.368251612262426
DRJ3,DRJ3_T05_S25,42,-22.883562112193538,-43.37364610218576
DRJ3,DRJ3_T05_S26,42,-22.88580932861596,-43.34604091316693
DRJ3,DRJ3_T05_S27,42,-22.86510599292455,-43.36705446162495
DRJ3,DRJ3_T05_S28,42,-22.87355650108069,-43.33959927685009
DRJ3,DRJ3_T05_S29,42,-22.914260801603568,-43.38668059535435
DRJ3,DRJ3_T05_S30,42,-22.879760198538573,-43.33974864715361
DRJ3,DRJ3_T05_S31,42,-22.925033629678705,-43.39001432829966
DRJ3,DRJ3_T05_S32,42,-22.917516865801307,-43.38061252159662
DRJ3,DRJ3_T05_S33,42,-22.844005846262863,-43.34196105776896
DRJ3,DRJ3_T05_S34,42,-22.925500422691393,-43.37158508357918
DRJ3,DRJ3_T05_S35,42,-22.878987286603195,-43.37046248874708
DRJ3,DRJ3_T05_S36,42,-22.92844503795769,-43.37780307350757
DRJ3,DRJ3_T05_S37,42,-22.882398824699457,-43.35825182535553
DRJ3,DRJ3_T05_S38,42,-22.931389295817876,-43.384021090315244
DRJ3,DRJ3_T05_S39,42,-22.88666359968155,-43.37372095266887
DRJ3,DRJ3_T05_S40,42,-22.87425698011883,-43.373421555102574
DRJ3,DRJ3_T05_S41,42,-22.879606087029075,-43.34589148062166
DRJ3,DRJ3_T05_S42,42,-22.918833359789613,-43.389864461571364
DRJ3,DRJ3_T05_S43,42,-22.873402399066908,-43.34574205098234
DRJ3,DRJ3_T05_S44,42,-22.90805974460075,-43.38653076338153
DRJ3,DRJ3_T06_S01,42,-22.90594726281072,-43.28505708303391
